Coin Name,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,Price_to_MarketCap_Ratio,Volatility_Index
RSK Infrastructure Framework,0.1,-0.5,-0.8,-7.1,-6.1,3081372.0,1000000000.0,1000000000.0,96678971.0,1.0343510999925723e-09,-0.65
RSS3,0.14,-2.6,-5.4,-3.5,53.9,5746712.0,558874999.0,1000000000.0,79644246.0,1.7578168798283309e-09,-4.0
Radiant Capital,0.23,0.5,-4.5,-13.4,4.9,24181754.0,367189806.0,1000000000.0,85623394.0,2.686181769435582e-09,-2.0
Radio Caca,0.615,1.0,-6.9,-14.1,8.3,8898227.0,351351566604.0,427000000000.0,54964989.0,1.118894065456831e-08,-2.95
Radix,0.615,0.1,10.0,31.2,36.4,5746712.0,10305310076.0,12.7,594573578.0,1.0343547422149323e-09,5.05
Radworks,1.42,0.5,-8.1,-3.5,9.8,10158796.0,49829111.0,100000000.0,98370357.0,1.4435242925874509e-08,-3.8
Ravencoin,0.02,-0.1,-4.1,-9.7,12.4,11581067.0,11907968089.0,11.9,198107637.0,1.0095521961124599e-10,-2.0999999999999996
Raydium,0.38,-0.9,7.8,-8.6,111.7,25429912.0,242050954.0,555000000.0,91726336.0,4.1427578661814205e-09,3.4499999999999997
Real USD,0.53,0.1,-0.2,0.2,-7.2,33047.0,45207233.0,45.2,98370357.0,5.3878019371221765e-09,-0.05
Redacted,180.41,-0.1,10.9,6.1,66.9,5746712.0,238911.0,239000.0,43099766.0,4.185869593816356e-06,5.4
Reef,0.615,0.5,-4.2,-9.3,14.9,20112922.0,22821409581.0,22.8,34571246.0,1.7789350143758197e-08,-1.85
Refinable,0.615,0.1,-5.0,-6.0,51.9,98787.0,0.0,500000000.0,27281351.0,2.2542871868772187e-08,-2.45
Ren,0.05,1.0,-5.3,-9.5,21.7,20704070.0,1000000000.0,1000000000.0,52929502.0,9.446527571712275e-10,-2.15
Render,3.26,0.2,-4.7,31.4,61.6,193668334.0,374243313.0,531000000.0,1222039540.0,2.6676714568499147e-09,-2.25
Request,0.08,0.4,-4.0,-2.9,10.8,1598715.0,768806704.0,1000000000.0,60121581.0,1.3306369970543523e-09,-1.8
Reserve Rights,0.615,1.1,-4.2,-9.9,26.0,12964566.0,50600000000.0,100000000000.0,116746078.0,5.267842916316212e-09,-1.55
Ribbon Finance,0.2,0.0,-4.2,11.3,16.5,830191.0,835683231.0,1000000000.0,165959207.0,1.205115423334121e-09,-2.1
Rocket Pool,27.48,1.5,3.0,-4.6,21.5,4951292.0,19842347.0,19.8,543831667.0,5.053034177209839e-08,2.25
Rocket Pool ETH,2216.89,0.4,2.1,1.2,21.3,8583634.0,543163.0,543000.0,98370357.0,2.253615893657883e-05,1.25
RocketX exchange,0.67,0.1,0.8,-3.5,21.5,900248.0,84974047.0,99.3,57314082.0,1.1689971759470911e-08,0.45
Rollbit Coin,0.16,-2.3,-6.7,-30.4,3.7,8526016.0,3081146040.0,3.08,504641576.0,3.170567143282701e-10,-4.5
Ronin,0.82,0.4,-1.6,2.6,92.3,5746712.0,271008046.0,1000000000.0,220915813.0,3.7118212085614712e-09,-0.6000000000000001
Router Protocol,3.58,1.1,-1.9,7.4,79.4,1842371.0,13648149.0,120000000.0,48810698.0,7.334457704333587e-08,-0.3999999999999999
SKALE,0.06,-1.0,7.9,91.4,155.5,5746712.0,5001811004.0,120000000.0,284224078.0,2.111010454223375e-10,3.45
SOMESING Exchange,0.02,-0.1,-0.1,-3.0,24.5,5746712.0,2872693295.0,5000000000.0,60445909.0,3.308743359290039e-10,-0.1
